ec5_uuid;created_at;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3;8_Notes;10_ST_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_LN_Behavior;23_Contact;24_AR;25_3;26_Notes;28_NR_Behavior;29_Contact;30_AR;31_3M;32_Notes;34_MN_Behavior;35_Contact;36_AR;37_3M;38_Notes;40_NY_Behavior;41_Contact;42_AR;43_3M;44_Notes
1a889edf-4872-4e2e-9289-4627e9e5145c;2025-04-30T04:59:08.000Z;13:58;;AG;;;;AG TOWARDS NY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a889edf-4872-4e2e-9289-4627e9e5145c;2025-04-30T04:59:08.000Z;13:58;;;;;;AG TOWARDS NY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ef6cfab1-3700-4470-82dc-f7b09cada5bf;2025-05-01T01:12:08.000Z;10:11;;;;;;;;;;;;;;;;;;;;;;;;;;;AG;;;;Towards cage c;;;;;
a194f187-e0dc-4fb7-8f90-089c5f5bbba1;2025-05-01T01:13:53.000Z;10:13;;;;;;;;;;;;DS;;;;Towards cage c;;;;;;;;;;;DS;;;;Towards cage c;;;;;
77597533-b63b-4103-87b8-57279ab1e9da;2025-05-01T01:15:44.000Z;10:15;;;;;;;;;;;;AG;;;;Towards cage c;;;;;;;;;;;;;;;;;;;;
77f63139-8051-4f35-b7f8-2a4c6685c15d;2025-05-01T02:04:04.000Z;11:03;;PL;NY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PL;MS;;;
1a21849d-25b2-4991-acbc-5cdb128e8799;2025-05-01T02:05:35.000Z;11:05;Yes;PL;NY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PL;MS;;;
47002f4d-a318-43c5-a2a9-282be2496a20;2025-05-01T02:07:50.000Z;11:07;Yes;PL;NY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PL;MS;;;
116b0769-9c10-4d37-a141-6b15c6eefb8a;2025-05-01T02:09:23.000Z;11:09;Yes;PL;NY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PL;MS;;;
a7d514f9-4d2d-4aca-b9c4-bc869fc0c352;2025-05-01T02:11:26.000Z;11:11;Yes;PL;NY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PL;MS;;;
5cf73e78-6a0f-45e8-9314-796f62e0078b;2025-05-01T02:13:29.000Z;11:13;Yes;PL;NY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PL;MS;;;
16b23895-d4fb-4b5a-b0ad-369f97db1ba7;2025-05-01T02:15:33.000Z;11:15;Yes;PL;NY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PL;MS;;;
1ffbee03-6fe3-4bc5-a6f3-2025976c5e65;2025-05-01T02:17:25.000Z;11:17;Yes;PL;NY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PL;MS;;;
12a5383b-eacc-477c-895f-b31373242f98;2025-05-01T04:37:36.000Z;13:37;;PL;;NY;;;;;;;;;;;;;;;;;;;;;;;;;;;;PL;;MS;;
4e7dfab7-6087-44f6-aa87-05eb126bb2d9;2025-05-15T01:31:30.000Z;10:30;;;;;;;;;;;;;;;;;;;;;;;;;;;DS;;;;Displayed toward cage a;;;;;
d9b1b2fa-cea3-42e0-9951-c94b94984aca;2025-05-15T01:47:51.000Z;10:46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AG;;;;AG towards MS
3d03a54d-cec2-4479-8d8e-6bec75deb0eb;2025-05-15T05:31:56.000Z;14:31;;DS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
