ec5_uuid,condition,date,msm,group,is_all_occasions,trial,phase,first_day,block_ID,Ind1,behaviour,partner,notes,playing,aggression,agg_morn1,play_morn1,agg_morn2,play_morn2,agg_enrich,play_enrich,agg_extra,play_extra
FnG,Crow,2025-05-05 00:00:00,864.0,2,True,6,enrich,False,enrich_2_trial6_sec_cont,ST,PL,NY,,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
gEo,Crow,2025-05-05 00:00:00,883.0,2,True,6,enrich,False,enrich_2_trial6_sec_cont,ST,PL,NY,,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
jPE,Crow,2025-05-05 00:00:00,884.0,2,True,6,enrich,False,enrich_2_trial6_sec_cont,ST,PL,NY,,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
uO3,Crow,2025-05-05 00:00:00,885.0,2,True,6,enrich,False,enrich_2_trial6_sec_cont,ST,PL,NY,,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
QjT,Crow,2025-05-05 00:00:00,646.0,2,True,6,morn2,False,morn2_2_trial6_sec_cont,ST,DS,,,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sD6,Crow,2025-05-05 00:00:00,660.0,2,True,6,morn2,False,morn2_2_trial6_sec_cont,ST,PL,TK,,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NZe,Crow,2025-05-05 00:00:00,668.0,2,True,6,morn2,False,morn2_2_trial6_sec_cont,ST,PL,TK,,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1Hq,Crow,2025-05-05 00:00:00,669.0,2,True,6,morn2,False,morn2_2_trial6_sec_cont,ST,PL,TK,,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
k8X,Crow,2025-05-05 00:00:00,670.0,2,True,6,morn2,False,morn2_2_trial6_sec_cont,ST,PL,TK,,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
sM7,Crow,2025-05-05 00:00:00,671.0,2,True,6,morn2,False,morn2_2_trial6_sec_cont,ST,PL,TK,,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
z8m,Crow,2025-05-05 00:00:00,672.0,2,True,6,morn2,False,morn2_2_trial6_sec_cont,ST,PL,TK,,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Brq,Crow,2025-05-05 00:00:00,606.0,2,True,6,morn1,False,morn1_2_trial6_sec_cont,ST,PL,TK,,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
yaC,Crow,2025-05-05 00:00:00,630.0,2,True,6,morn1,False,morn1_2_trial6_sec_cont,ST,DS,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zfR,Crow,2025-05-05 00:00:00,867.0,2,True,6,enrich,False,enrich_2_trial6_sec_cont,ST,DS,,,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
p1F,Crow,2025-05-05 00:00:00,870.0,2,True,6,enrich,False,enrich_2_trial6_sec_cont,ST,DS,,,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ff5,Crow,2025-05-05 00:00:00,595.0,2,True,6,morn1,False,morn1_2_trial6_sec_cont,ST,DS,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ODE,Crow,2025-05-05 00:00:00,589.0,2,True,6,morn1,False,morn1_2_trial6_sec_cont,ST,PL,TK,,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
07X,Crow,2025-05-05 00:00:00,592.0,2,True,6,morn1,False,morn1_2_trial6_sec_cont,ST,PL,TK,,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
YDN,Crow,2025-05-05 00:00:00,607.0,2,True,6,morn1,False,morn1_2_trial6_sec_cont,ST,PL,TK,,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
eK3,Crow,2025-05-05 00:00:00,680.0,2,True,6,morn2,False,morn2_2_trial6_sec_cont,ST,PL,SR,biting,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
